User_ID,Channel,Device,Is_Signed_Up,Is_Purchased,Customer_Acquisition_Cost,Lifetime_Value
100000,Google Search,Android,0,0,21.756538036845374,0.0
100001,Email Referral,Android,0,0,0.0,0.0
100002,Meta Ads,Web PC,0,0,9.039627037357981,0.0
100003,Meta Ads,iOS,1,0,14.099585369793388,0.0
100004,TikTok Ads,Android,0,0,11.87016868883156,0.0
100005,TikTok Ads,Android,0,0,8.713486186171805,0.0
100006,TikTok Ads,Android,0,0,12.182947773565063,0.0
100007,Organic SEO,iOS,1,0,0.0,0.0
100008,Meta Ads,Android,1,0,11.275597938587055,0.0
100009,Meta Ads,iOS,0,0,10.151673265893653,0.0
100010,TikTok Ads,iOS,0,0,8.130837927959766,0.0
100011,Email Referral,Web PC,1,1,0.0,134.8465309071352
100012,Organic SEO,Web PC,1,1,0.0,191.36042681202778
100013,TikTok Ads,Android,0,0,9.514465669861307,0.0
100014,TikTok Ads,iOS,0,0,9.44179660929237,0.0
100015,TikTok Ads,Android,0,0,13.00763096101503,0.0
100016,TikTok Ads,iOS,0,0,9.814649791497095,0.0
100017,Google Search,iOS,1,0,29.678931668205216,0.0
100018,Google Search,Android,1,1,17.760676684153538,137.95600178343548
100019,TikTok Ads,iOS,1,0,14.251502053358855,0.0
100020,Meta Ads,Web PC,1,0,10.55692723886753,0.0
100021,TikTok Ads,iOS,0,0,14.995839743651956,0.0
100022,TikTok Ads,iOS,1,0,13.626449214237313,0.0
100023,Google Search,Android,1,0,24.060574674679646,0.0
100024,Google Search,Android,1,0,27.459461055906907,0.0
100025,Meta Ads,Android,0,0,14.27734866090547,0.0
100026,TikTok Ads,iOS,0,0,14.98311224865364,0.0
100027,Google Search,Android,1,0,17.552992701448655,0.0
100028,Meta Ads,iOS,1,0,12.093215775450139,0.0
100029,TikTok Ads,iOS,0,0,10.707822647089845,0.0
100030,Meta Ads,Android,1,0,10.698197923868705,0.0
100031,TikTok Ads,iOS,1,0,12.42624185271059,0.0
100032,TikTok Ads,Web PC,1,0,11.52911889161593,0.0
100033,Organic SEO,Android,1,1,0.0,139.53200916126494
100034,Email Referral,Web PC,1,1,0.0,140.66934824863569
100035,Organic SEO,iOS,1,1,0.0,172.04752704085655
100036,TikTok Ads,Web PC,0,0,13.673724182202783,0.0
100037,TikTok Ads,iOS,1,0,10.297956479243329,0.0
100038,Meta Ads,iOS,0,0,11.709984146131339,0.0
100039,Google Search,iOS,1,1,29.4835931946175,90.04839554446636
100040,TikTok Ads,Android,1,0,8.633611111832701,0.0
100041,Google Search,iOS,0,0,19.027622218428636,0.0
100042,TikTok Ads,Android,0,0,8.711576505427864,0.0
100043,Organic SEO,iOS,1,1,0.0,89.64873518574728
100044,TikTok Ads,iOS,1,0,8.439036378206934,0.0
100045,Meta Ads,Android,1,0,8.116581553192027,0.0
100046,TikTok Ads,iOS,0,0,10.558474862368307,0.0
100047,Google Search,Android,1,0,27.72812885214332,0.0
100048,Google Search,Android,0,0,18.625161567073494,0.0
100049,TikTok Ads,Web PC,0,0,10.270948039928463,0.0
100050,Email Referral,iOS,1,0,0.0,0.0
100051,Meta Ads,Web PC,1,0,13.99432335054809,0.0
100052,Organic SEO,Android,1,0,0.0,0.0
100053,Organic SEO,Web PC,1,1,0.0,45.20949860639776
100054,Meta Ads,iOS,0,0,9.050008226209854,0.0
100055,Organic SEO,Android,1,0,0.0,0.0
100056,TikTok Ads,Android,0,0,9.657888570483049,0.0
100057,TikTok Ads,iOS,0,0,12.983321606836094,0.0
100058,TikTok Ads,Android,1,0,13.18727744955841,0.0
100059,TikTok Ads,Android,0,0,10.510834648270079,0.0
100060,Google Search,Android,0,0,15.157473050026123,0.0
100061,TikTok Ads,iOS,0,0,10.670688067624594,0.0
100062,Organic SEO,Android,1,1,0.0,169.41473557500132
100063,Google Search,iOS,1,1,25.732122240825344,82.12803260923349
100064,TikTok Ads,Android,0,0,13.003589927676384,0.0
100065,Google Search,iOS,1,1,21.297037542678748,75.07574759157465
100066,TikTok Ads,iOS,0,0,10.441419728276475,0.0
100067,Organic SEO,iOS,1,1,0.0,116.05183827793014
100068,TikTok Ads,Android,0,0,12.914467695424845,0.0
100069,Email Referral,Web PC,1,1,0.0,177.31271955033725
100070,Meta Ads,iOS,1,0,14.642662010367328,0.0
100071,TikTok Ads,iOS,0,0,13.549547460538502,0.0
100072,TikTok Ads,iOS,1,0,9.604892448578443,0.0
100073,Organic SEO,Android,1,1,0.0,135.79617773631122
100074,Meta Ads,Android,0,0,14.7385021959312,0.0
100075,Meta Ads,iOS,0,0,12.26796557628295,0.0
100076,Meta Ads,Android,1,0,8.787043667991837,0.0
100077,TikTok Ads,iOS,1,0,10.357884797830437,0.0
100078,Google Search,iOS,1,0,25.861202601569822,0.0
100079,TikTok Ads,iOS,0,0,14.088615233805914,0.0
100080,Organic SEO,Android,1,1,0.0,174.81422868100762
100081,Meta Ads,Web PC,1,0,11.706445929283175,0.0
100082,TikTok Ads,Android,0,0,8.96413504529242,0.0
100083,TikTok Ads,iOS,1,1,8.864863125205495,40.06661891299171
100084,TikTok Ads,Android,1,0,10.281667255487864,0.0
100085,TikTok Ads,iOS,1,0,8.262533381433983,0.0
100086,Meta Ads,Android,1,0,10.929897628045731,0.0
100087,Meta Ads,Android,0,0,13.439915521885604,0.0
100088,Organic SEO,Web PC,1,0,0.0,0.0
100089,Google Search,iOS,0,0,21.915305581747347,0.0
100090,TikTok Ads,Android,0,0,13.812383478693599,0.0
100091,Meta Ads,Android,0,0,12.601059265548828,0.0
100092,Meta Ads,iOS,0,0,9.353191828945867,0.0
100093,Meta Ads,Android,0,0,9.500855711920146,0.0
100094,Meta Ads,Web PC,1,0,10.447666144193692,0.0
100095,Google Search,Web PC,0,0,23.070701305481755,0.0
